year,mo,data-type,region,extent,area
2001,7,Goddard,S,15.85,12.58
2002,7,Goddard,S,15.41,12.52
2003,7,Goddard,S,16.40,13.17
2004,7,Goddard,S,16.33,13.16
2005,7,Goddard,S,16.16,12.72
2006,7,Goddard,S,16.11,12.88
2007,7,Goddard,S,15.96,12.61
2008,7,Goddard,S,16.09,12.95
2009,7,Goddard,S,16.26,13.09
2010,7,Goddard,S,16.92,13.74
2011,7,Goddard,S,15.75,12.34
2012,7,Goddard,S,16.30,13.31
2013,7,Goddard,S,16.81,13.73
2014,7,Goddard,S,17.11,13.95
2015,7,Goddard,S,16.78,13.45
2016,7,Goddard,S,16.02,12.55
2017,7,Goddard,S,15.30,12.28
2018,7,Goddard,S,15.70,12.49
2019,7,Goddard,S,15.30,12.33
2020,7,Goddard,S,15.72,12.58
2021,7,Goddard,S,16.45,13.36
2022,7,Goddard,S,14.99,11.91
2023,7,NRTSI-G,S,13.49,10.59
1979,8,Goddard,S,17.70,13.79
1980,8,Goddard,S,17.81,13.96
1981,8,Goddard,S,17.74,14.16
1982,8,Goddard,S,17.79,14.28
1983,8,Goddard,S,17.25,13.84
1984,8,Goddard,S,17.93,14.23
1985,8,Goddard,S,17.63,14.24
1986,8,Goddard,S,17.00,13.46
1987,8,Goddard,S,17.60,14.02
1988,8,Goddard,S,17.56,13.98
1989,8,Goddard,S,17.47,14.03
1990,8,Goddard,S,17.57,14.03
1991,8,Goddard,S,17.72,14.05
1992,8,Goddard,S,17.73,14.17
1993,8,Goddard,S,17.49,13.93
1994,8,Goddard,S,17.84,14.49
1995,8,Goddard,S,17.78,14.20
1996,8,Goddard,S,17.74,13.90
1997,8,Goddard,S,17.68,14.09
1998,8,Goddard,S,17.88,14.06
1999,8,Goddard,S,17.96,14.24
2000,8,Goddard,S,18.21,14.64
2001,8,Goddard,S,17.42,13.75
2002,8,Goddard,S,17.07,13.74
2003,8,Goddard,S,17.58,13.77
2004,8,Goddard,S,18.01,14.23
2005,8,Goddard,S,17.92,13.95
2006,8,Goddard,S,18.10,14.54
2007,8,Goddard,S,17.68,14.03
2008,8,Goddard,S,17.64,14.13
2009,8,Goddard,S,18.10,14.45
2010,8,Goddard,S,18.61,14.95
2011,8,Goddard,S,17.81,14.04
2012,8,Goddard,S,18.10,14.56
2013,8,Goddard,S,18.66,15.13
2014,8,Goddard,S,18.91,15.10
2015,8,Goddard,S,17.75,14.02
2016,8,Goddard,S,17.89,13.98
2017,8,Goddard,S,17.22,13.62
2018,8,Goddard,S,17.42,14.01
2019,8,Goddard,S,17.48,13.99
2020,8,Goddard,S,17.76,14.42
2021,8,Goddard,S,18.19,14.63
2022,8,Goddard,S,17.05,13.67
2023,8,NRTSI-G,S,15.50,12.21
1979,9,Goddard,S,18.20,14.29
1980,9,Goddard,S,18.82,14.87
1981,9,Goddard,S,18.60,14.78
1982,9,Goddard,S,18.35,14.53
1983,9,Goddard,S,18.59,14.68
1984,9,Goddard,S,18.17,14.27
1985,9,Goddard,S,18.70,14.72
1986,9,Goddard,S,17.68,13.88
1987,9,Goddard,S,18.25,14.27
1988,9,Goddard,S,18.31,14.20
1989,9,Goddard,S,18.12,14.48
1990,9,Goddard,S,18.19,14.39
1991,9,Goddard,S,18.31,14.47
1992,9,Goddard,S,18.15,14.13
1993,9,Goddard,S,18.54,14.70
1994,9,Goddard,S,18.61,14.61
1995,9,Goddard,S,18.37,14.46
1996,9,Goddard,S,18.63,14.54
1997,9,Goddard,S,18.60,14.59
1998,9,Goddard,S,18.90,14.84
1999,9,Goddard,S,18.70,14.62
2000,9,Goddard,S,18.89,15.07
2001,9,Goddard,S,18.17,14.36
2002,9,Goddard,S,17.89,14.10
2003,9,Goddard,S,18.30,14.14
2004,9,Goddard,S,18.92,14.59
2005,9,Goddard,S,18.80,14.85
2006,9,Goddard,S,19.09,15.18
2007,9,Goddard,S,18.86,15.39
2008,9,Goddard,S,18.15,14.39
2009,9,Goddard,S,18.96,15.08
2010,9,Goddard,S,18.80,14.43
2011,9,Goddard,S,18.74,14.57
2012,9,Goddard,S,19.21,15.41
2013,9,Goddard,S,19.39,15.28
2014,9,Goddard,S,19.76,15.75
2015,9,Goddard,S,18.44,14.45
2016,9,Goddard,S,18.15,13.86
2017,9,Goddard,S,17.91,13.92
2018,9,Goddard,S,17.96,14.20
2019,9,Goddard,S,18.33,14.60
2020,9,Goddard,S,18.84,15.09
2021,9,Goddard,S,18.51,14.42
2022,9,Goddard,S,18.06,14.07
2023,9,NRTSI-G,S,16.80,12.97
1979,10,Goddard,S,17.82,13.72
1980,10,Goddard,S,18.57,14.57
1981,10,Goddard,S,18.29,14.43
1982,10,Goddard,S,17.79,13.74
1983,10,Goddard,S,17.92,13.92
1984,10,Goddard,S,17.57,13.73
1985,10,Goddard,S,18.20,14.37
1986,10,Goddard,S,17.18,13.32
1987,10,Goddard,S,17.67,13.71
1988,10,Goddard,S,18.36,14.41
1989,10,Goddard,S,17.86,13.85
1990,10,Goddard,S,17.95,13.80
1991,10,Goddard,S,17.92,13.80
1992,10,Goddard,S,17.93,13.85
1993,10,Goddard,S,18.13,14.17
1994,10,Goddard,S,18.09,14.07
1995,10,Goddard,S,18.03,13.57
1996,10,Goddard,S,17.96,13.94
1997,10,Goddard,S,17.99,14.12
1998,10,Goddard,S,18.66,14.54
1999,10,Goddard,S,18.35,14.23
2000,10,Goddard,S,18.13,14.26
2001,10,Goddard,S,17.73,13.34
2002,10,Goddard,S,17.87,13.82
2003,10,Goddard,S,18.20,13.87
2004,10,Goddard,S,18.46,14.12
2005,10,Goddard,S,18.48,14.04
2006,10,Goddard,S,18.73,14.68
2007,10,Goddard,S,18.51,14.59
2008,10,Goddard,S,17.99,14.12
2009,10,Goddard,S,18.30,14.35
2010,10,Goddard,S,18.65,14.41
2011,10,Goddard,S,18.22,14.23
2012,10,Goddard,S,18.59,14.45
2013,10,Goddard,S,19.02,15.13
2014,10,Goddard,S,19.00,14.83
2015,10,Goddard,S,18.41,14.36
2016,10,Goddard,S,17.46,12.94
2017,10,Goddard,S,17.78,13.45
2018,10,Goddard,S,17.73,13.99
2019,10,Goddard,S,17.94,13.90
2020,10,Goddard,S,18.49,14.60
2021,10,Goddard,S,17.69,13.39
2022,10,Goddard,S,17.47,13.34
2023,10,NRTSI-G,S,16.20,12.46
1978,11,Goddard,S,15.90,11.69
1979,11,Goddard,S,15.34,11.32
1980,11,Goddard,S,16.13,11.84
1981,11,Goddard,S,16.11,12.07
1982,11,Goddard,S,15.54,11.27
1983,11,Goddard,S,16.01,11.57
1984,11,Goddard,S,16.13,12.06
1985,11,Goddard,S,16.14,12.34
1986,11,Goddard,S,15.01,10.87
1987,11,Goddard,S,15.58,11.23
1988,11,Goddard,S,16.15,12.29
1989,11,Goddard,S,15.73,11.42
1990,11,Goddard,S,15.47,11.35
1991,11,Goddard,S,15.58,11.46
1992,11,Goddard,S,15.90,11.20
1993,11,Goddard,S,16.04,11.83
1994,11,Goddard,S,15.88,11.78
1995,11,Goddard,S,15.63,11.49
1996,11,Goddard,S,15.72,11.24
1997,11,Goddard,S,15.73,11.59
1998,11,Goddard,S,16.30,11.88
1999,11,Goddard,S,15.96,11.51
2000,11,Goddard,S,15.76,11.81
2001,11,Goddard,S,15.61,11.00
2002,11,Goddard,S,15.41,11.67
2003,11,Goddard,S,16.11,11.47
2004,11,Goddard,S,16.08,11.75
2005,11,Goddard,S,16.32,11.80
2006,11,Goddard,S,16.23,11.61
2007,11,Goddard,S,15.89,12.16
2008,11,Goddard,S,16.25,12.01
2009,11,Goddard,S,15.85,11.80
2010,11,Goddard,S,16.75,11.92
2011,11,Goddard,S,15.76,11.77
2012,11,Goddard,S,16.11,12.07
2013,11,Goddard,S,16.87,12.77
2014,11,Goddard,S,16.39,12.26
2015,11,Goddard,S,16.18,11.90
2016,11,Goddard,S,14.22,9.84
2017,11,Goddard,S,15.11,10.91
2018,11,Goddard,S,15.10,10.75
2019,11,Goddard,S,14.99,11.19
2020,11,Goddard,S,16.23,11.88
2021,11,Goddard,S,15.04,10.45
2022,11,Goddard,S,15.16,10.84
2023,11,NRTSI-G,S,14.27,10.29
1978,12,Goddard,S,10.40,6.97
1979,12,Goddard,S,9.24,6.24
1980,12,Goddard,S,10.16,6.56
1981,12,Goddard,S,10.89,7.02
1982,12,Goddard,S,9.22,6.31
1983,12,Goddard,S,10.39,6.71
1984,12,Goddard,S,10.47,6.96
1985,12,Goddard,S,11.35,7.46
1986,12,Goddard,S,9.65,6.49
1987,12,-9999,S,-9999,-9999
1988,12,Goddard,S,11.06,7.40
1989,12,Goddard,S,9.84,6.70
1990,12,Goddard,S,9.95,6.73
1991,12,Goddard,S,10.19,6.80
1992,12,Goddard,S,10.21,6.18
1993,12,Goddard,S,9.93,6.67
1994,12,Goddard,S,10.10,7.11
1995,12,Goddard,S,10.62,7.19
1996,12,Goddard,S,9.65,6.24
1997,12,Goddard,S,10.29,6.99
1998,12,Goddard,S,10.52,6.80
1999,12,Goddard,S,10.72,6.80
2000,12,Goddard,S,9.91,6.95
2001,12,Goddard,S,10.35,6.36
2002,12,Goddard,S,10.79,7.61
2003,12,Goddard,S,10.56,7.20
2004,12,Goddard,S,10.23,6.93
2005,12,Goddard,S,9.68,6.33
2006,12,Goddard,S,9.85,6.48
2007,12,Goddard,S,11.98,8.38
2008,12,Goddard,S,11.51,7.39
2009,12,Goddard,S,10.74,7.09
2010,12,Goddard,S,11.27,6.94
2011,12,Goddard,S,11.20,7.40
2012,12,Goddard,S,10.39,7.38
2013,12,Goddard,S,11.85,8.34
2014,12,Goddard,S,11.93,8.21
2015,12,Goddard,S,10.66,7.09
2016,12,Goddard,S,8.28,5.51
2017,12,Goddard,S,9.48,6.23
2018,12,Goddard,S,9.19,5.59
2019,12,Goddard,S,9.41,6.59
2020,12,Goddard,S,10.57,6.61
2021,12,Goddard,S,9.24,5.48
2022,12,Goddard,S,8.84,5.23
2023,12,NRTSI-G,S,8.67,5.84
1979,1,Goddard,N,15.41,12.41
1980,1,Goddard,N,14.86,11.94
1981,1,Goddard,N,14.91,11.91
1982,1,Goddard,N,15.18,12.19
1983,1,Goddard,N,14.94,12.01
1984,1,Goddard,N,14.47,11.68
1985,1,Goddard,N,14.72,11.69
1986,1,Goddard,N,14.89,11.88
1987,1,Goddard,N,14.97,11.90
1988,1,-9999,N,-9999,-9999
1989,1,Goddard,N,14.95,13.18
1990,1,Goddard,N,14.78,12.80
1991,1,Goddard,N,14.36,12.57
1992,1,Goddard,N,14.64,12.61
1993,1,Goddard,N,14.90,12.93
1994,1,Goddard,N,14.73,12.88
1995,1,Goddard,N,14.59,12.79
1996,1,Goddard,N,14.18,12.15
1997,1,Goddard,N,14.42,12.39
1998,1,Goddard,N,14.72,12.81
1999,1,Goddard,N,14.36,12.60
2000,1,Goddard,N,14.22,12.30
2001,1,Goddard,N,14.20,12.35
2002,1,Goddard,N,14.27,12.26
2003,1,Goddard,N,14.39,12.29
2004,1,Goddard,N,14.03,12.26
2005,1,Goddard,N,13.66,11.92
2006,1,Goddard,N,13.47,11.65
2007,1,Goddard,N,13.70,11.86
2008,1,Goddard,N,13.89,12.30
2009,1,Goddard,N,13.91,12.32
2010,1,Goddard,N,13.74,12.04
2011,1,Goddard,N,13.46,11.83
2012,1,Goddard,N,13.73,12.21
2013,1,Goddard,N,13.70,12.02
2014,1,Goddard,N,13.65,12.10
2015,1,Goddard,N,13.60,12.17
2016,1,Goddard,N,13.46,11.80
2017,1,Goddard,N,13.19,11.37
2018,1,Goddard,N,13.08,11.70
2019,1,Goddard,N,13.57,12.14
2020,1,Goddard,N,13.64,12.15
2021,1,Goddard,N,13.50,11.75
2022,1,Goddard,N,13.87,12.26
2023,1,NRTSI-G,N,13.35,11.83
1979,2,Goddard,N,16.18,13.18
1980,2,Goddard,N,15.96,12.90
1981,2,Goddard,N,15.60,12.53
1982,2,Goddard,N,15.97,12.87
1983,2,Goddard,N,16.01,12.94
1984,2,Goddard,N,15.30,12.26
1985,2,Goddard,N,15.47,12.48
1986,2,Goddard,N,15.78,12.62
1987,2,Goddard,N,16.05,13.02
1988,2,Goddard,N,15.58,13.57
1989,2,Goddard,N,15.50,13.36
1990,2,Goddard,N,15.58,13.42
1991,2,Goddard,N,15.25,13.22
1992,2,Goddard,N,15.46,13.58
1993,2,Goddard,N,15.69,13.61
1994,2,Goddard,N,15.56,13.52
1995,2,Goddard,N,15.23,13.37
1996,2,Goddard,N,15.15,12.98
1997,2,Goddard,N,15.44,13.44
1998,2,Goddard,N,15.75,13.77
1999,2,Goddard,N,15.31,13.45
2000,2,Goddard,N,15.14,13.09
2001,2,Goddard,N,15.21,13.22
2002,2,Goddard,N,15.34,13.42
2003,2,Goddard,N,15.19,13.23
2004,2,Goddard,N,14.91,12.94
2005,2,Goddard,N,14.37,12.35
2006,2,Goddard,N,14.32,12.35
2007,2,Goddard,N,14.51,12.58
2008,2,Goddard,N,14.95,13.21
2009,2,Goddard,N,14.81,13.21
2010,2,Goddard,N,14.58,12.96
2011,2,Goddard,N,14.36,12.76
2012,2,Goddard,N,14.55,12.72
2013,2,Goddard,N,14.72,13.20
2014,2,Goddard,N,14.42,12.56
2015,2,Goddard,N,14.40,12.85
2016,2,Goddard,N,14.20,12.43
2017,2,Goddard,N,14.12,12.32
2018,2,Goddard,N,13.97,12.31
2019,2,Goddard,N,14.39,12.76
2020,2,Goddard,N,14.64,12.95
2021,2,Goddard,N,14.39,12.76
2022,2,Goddard,N,14.61,12.90
2023,2,NRTSI-G,N,14.18,12.57
1979,3,Goddard,N,16.34,13.21
1980,3,Goddard,N,16.04,12.99
1981,3,Goddard,N,15.63,12.71
1982,3,Goddard,N,16.04,13.07
1983,3,Goddard,N,16.09,12.93
1984,3,Goddard,N,15.58,12.55
1985,3,Goddard,N,15.89,12.75
1986,3,Goddard,N,15.91,12.72
1987,3,Goddard,N,15.82,12.83
1988,3,Goddard,N,15.96,13.90
1989,3,Goddard,N,15.42,13.21
1990,3,Goddard,N,15.87,13.51
1991,3,Goddard,N,15.42,13.42
1992,3,Goddard,N,15.48,13.48
1993,3,Goddard,N,15.81,13.77
1994,3,Goddard,N,15.55,13.55
1995,3,Goddard,N,15.26,13.34
1996,3,Goddard,N,15.12,12.90
1997,3,Goddard,N,15.47,13.30
1998,3,Goddard,N,15.60,13.57
1999,3,Goddard,N,15.40,13.54
2000,3,Goddard,N,15.22,13.17
2001,3,Goddard,N,15.52,13.64
2002,3,Goddard,N,15.35,13.42
2003,3,Goddard,N,15.48,13.42
2004,3,Goddard,N,14.99,12.99
2005,3,Goddard,N,14.69,12.74
2006,3,Goddard,N,14.42,12.52
2007,3,Goddard,N,14.54,12.56
2008,3,Goddard,N,15.18,13.53
2009,3,Goddard,N,14.98,13.43
2010,3,Goddard,N,15.14,13.53
2011,3,Goddard,N,14.55,12.83
2012,3,Goddard,N,15.20,13.41
2013,3,Goddard,N,15.03,13.45
2014,3,Goddard,N,14.76,12.95
2015,3,Goddard,N,14.37,12.78
2016,3,Goddard,N,14.40,12.61
2017,3,Goddard,N,14.29,12.61
2018,3,Goddard,N,14.30,12.69
2019,3,Goddard,N,14.57,12.89
2020,3,Goddard,N,14.73,13.03
2021,3,Goddard,N,14.66,12.99
2022,3,Goddard,N,14.59,12.80
2023,3,NRTSI-G,N,14.44,12.87
1979,4,Goddard,N,15.45,12.53
1980,4,Goddard,N,15.43,12.52
1981,4,Goddard,N,15.01,12.24
1982,4,Goddard,N,15.47,12.63
1983,4,Goddard,N,15.17,12.21
1984,4,Goddard,N,15.01,12.18
1985,4,Goddard,N,15.36,12.54
1986,4,Goddard,N,15.06,12.04
1987,4,Goddard,N,15.21,12.35
1988,4,Goddard,N,15.12,13.18
1989,4,Goddard,N,14.33,12.36
1990,4,Goddard,N,14.65,12.28
1991,4,Goddard,N,14.86,12.87
1992,4,Goddard,N,14.68,12.84
1993,4,Goddard,N,15.08,13.03
1994,4,Goddard,N,14.89,12.91
1995,4,Goddard,N,14.45,12.40
1996,4,Goddard,N,14.22,12.32
1997,4,Goddard,N,14.56,12.57
